Name,Pubished Date,Original Price,Discount Price,Reviews,Genres
ELDEN RING NIGHTREIGN,"
                    May 29, 2025                ",N/A,$39.99,43929,Action
Counter-Strike 2,"
                    Aug 21, 2012                ",N/A,Free,814654,Action
Steam Deck,"
                    Jan 17, 2025                ",N/A,$399.00,N/A,N/A
Dune: Awakening,"
                    Jun 10, 2025                ",N/A,$49.99,N/A,Action
Dead by Daylight,"
                    Jun 14, 2016                ",N/A,$19.99,579559,Action
The Elder Scrolls IV: Oblivion Remastered,"
                    Apr 22, 2025                ",$49.99,$39.99,45396,RPG
The Elder Scrolls® Online,"
                    May 22, 2017                ",$19.99,$4.99,127817,Action
Marvel Rivals,"
                    Dec 5, 2024                ",N/A,Free,287122,Action
Clair Obscur: Expedition 33,"
                    Apr 24, 2025                ",N/A,$49.99,74999,Action
Stellar Blade™,"
                    Jun 11, 2025                ",N/A,$59.99,N/A,Action
HELLDIVERS™ 2,"
                    Feb 8, 2024                ",N/A,$39.99,740573,Action
Schedule I,"
                    Mar 24, 2025                ",N/A,$19.99,187245,Action
Warframe,"
                    Mar 25, 2013                ",N/A,Free,620159,Action
Tom Clancy’s The Division® 2,"
                    Jan 12, 2023                ",$29.99,$2.99,20073,Action
FANTASY LIFE i: The Girl Who Steals Time,"
                    May 21, 2025                ",N/A,$59.99,6498,RPG
Tainted Grail: The Fall of Avalon,"
                    May 23, 2025                ",N/A,$44.99,10694,Action
Void War,"
                    Jun 2, 2025                ",$19.99,$17.99,129,Adventure
Destiny 2,"
                    Oct 1, 2019                ",N/A,Free,625645,Action
War Thunder,"
                    Aug 15, 2013                ",N/A,Free,626162,Action
ELDEN RING,"
                    Feb 24, 2022                ",N/A,$59.99,765837,Action
Apex Legends™,"
                    Nov 4, 2020                ",N/A,Free,994746,Action
F1® 25,"
                    May 30, 2025                ",N/A,$59.99,1784,Racing
Call of Duty®: Black Ops 6,"
                    Oct 24, 2024                ",$69.99,$38.49,11870,Action
R.E.P.O.,"
                    Feb 26, 2025                ",N/A,$9.99,151738,Action
Tom Clancy's Rainbow Six® Siege,"
                    Dec 1, 2015                ",N/A,$19.99,189913,Action
The Elder Scrolls Online: 2025 Content Pass,"
                    Apr 10, 2025                ",N/A,$49.99,39,Action
STAR WARS™ Battlefront™ II,"
                    Jun 11, 2020                ",N/A,$39.99,60814,Action
Call of Duty®: Black Ops III,"
                    Nov 5, 2015                ",$59.99,$19.79,140563,Action
Sekiro™: Shadows Die Twice - GOTY Edition,"
                    Mar 21, 2019                ",$59.99,$29.99,234398,Action
Baldur's Gate 3,"
                    Aug 3, 2023                ",N/A,$59.99,670517,Adventure
Rust,"
                    Feb 8, 2018                ",N/A,$39.99,019555,Action
"Warhammer 40,000: Space Marine 2","
                    Sep 9, 2024                ",$59.99,$35.99,118831,Action
Guilty as Sock!,"
                    May 29, 2025                ",$5.50,$4.95,539,Casual
The Outlast Trials,"
                    Mar 5, 2024                ",$39.99,$15.99,55391,Action
Call of Duty®: Warzone™,"
                    Nov 16, 2022                ",N/A,Free,44946,Action
RoadCraft,"
                    May 20, 2025                ",N/A,$39.99,6245,Adventure
Fallout 76,"
                    Apr 14, 2020                ",N/A,$39.99,66218,RPG
Cyber Knights: Flashpoint,"
                    Jun 2, 2025                ",$29.99,$23.99,915,Action
NBA 2K25,"
                    Oct 28, 2024                ",N/A,$69.99,22726,Simulation
Call of Duty®,"
                    Oct 27, 2022                ",N/A,N/A,714249,Action
The Elder Scrolls V: Skyrim Special Edition,"
                    Oct 27, 2016                ",$39.99,$9.99,189401,RPG
REMATCH,"
                    Jun 19, 2025                ",N/A,$29.99,N/A,Action
Car Dealer Simulator,"
                    May 29, 2025                ",$19.99,$17.99,645,Casual
Call of Duty®: Black Ops 6 - BlackCell (Season 04),"
                    May 29, 2025                ",N/A,$29.99,52,Action
Magic: The Gathering Arena,"
                    May 23, 2023                ",N/A,Free,19123,Strategy
Divinity: Original Sin 2 - Definitive Edition,"
                    Sep 14, 2017                ",$44.99,$13.49,166118,Adventure
DOOM: The Dark Ages,"
                    May 14, 2025                ",N/A,$69.99,14536,Action
FINAL FANTASY XIV Online,"
                    Feb 18, 2014                ",N/A,$19.99,73331,Massively Multiplayer
Date Everything!,"
                    Jun 17, 2025                ",$29.99,$26.99,N/A,Simulation
9 Kings,"
                    May 23, 2025                ",$14.99,$9.74,4740,RPG
